ダウンロードした時刻：2020/07/15 11:37:57

,東京,東京,東京
年月,日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃)
,,品質情報,均質番号
2015/1,10.4,8,1
2015/2,10.4,8,1
2015/3,15.5,8,1
2015/4,19.3,8,1
2015/5,26.4,8,1
2015/6,26.4,8,1
2015/7,30.1,8,1
2015/8,30.5,8,1
2015/9,26.4,8,1
2015/10,22.7,8,1
2015/11,17.8,8,1
2015/12,13.4,8,1
2016/1,10.6,8,1
2016/2,12.2,8,1
2016/3,14.9,8,1
2016/4,20.3,8,1
2016/5,25.2,8,1
2016/6,26.3,8,1
2016/7,29.7,8,1
2016/8,31.6,8,1
2016/9,27.7,8,1
2016/10,22.6,8,1
2016/11,15.5,8,1
2016/12,13.8,8,1
2017/1,10.8,8,1
2017/2,12.1,8,1
2017/3,13.4,8,1
2017/4,19.9,8,1
2017/5,25.1,8,1
2017/6,26.4,8,1
2017/7,31.8,8,1
2017/8,30.4,8,1
2017/9,26.8,8,1
2017/10,20.1,8,1
2017/11,16.6,8,1
2017/12,11.1,8,1
2018/1,9.4,8,1
2018/2,10.1,8,1
2018/3,16.9,8,1
2018/4,22.1,8,1
2018/5,24.6,8,1
2018/6,26.6,8,1
2018/7,32.7,8,1
2018/8,32.5,8,1
2018/9,26.6,8,1
2018/10,23.0,8,1
2018/11,17.7,8,1
2018/12,12.1,8,1
2019/1,10.3,8,1
2019/2,11.6,8,1
2019/3,15.4,8,1
2019/4,19.0,8,1
2019/5,25.3,8,1
2019/6,25.8,8,1
2019/7,27.5,8,1
2019/8,32.8,8,1
2019/9,29.4,8,1
2019/10,23.3,8,1
2019/11,17.7,8,1
2019/12,12.6,8,1
